update,global_step,episodes,last_100_return,approx_kl,clip_fraction,explained_variance,steps_per_second
1.0,2048.0,96.0,19.291666666666668,0.006305708549916744,0.0718994140625,0.0017736554145812988,2673.0
2.0,4096.0,176.0,22.96,0.01740296557545662,0.0479736328125,0.014553368091583252,2814.0
3.0,6144.0,255.0,25.01,0.012305974960327148,0.03326416015625,0.04025024175643921,2817.0
4.0,8192.0,341.0,22.65,0.008104359731078148,0.0299072265625,0.018120884895324707,2882.0
5.0,10240.0,427.0,23.35,0.01692497730255127,0.152587890625,0.018008768558502197,2482.0
6.0,12288.0,511.0,24.1,0.014721473678946495,0.16412353515625,0.11975657939910889,2052.0
7.0,14336.0,579.0,26.67,0.011253954842686653,0.02978515625,0.12578076124191284,1745.0
8.0,16384.0,643.0,30.99,0.012242501601576805,0.091552734375,0.06847649812698364,1847.0
9.0,18432.0,704.0,32.11,0.010309853591024876,0.1571044921875,0.1677764654159546,1942.0
10.0,20480.0,761.0,34.92,0.026171550154685974,0.1336669921875,0.21024763584136963,2027.0
11.0,22528.0,792.0,40.25,0.013438915833830833,0.11737060546875,0.15285652875900269,2101.0
12.0,24576.0,851.0,42.87,0.04039538651704788,0.23883056640625,0.19797807931900024,2167.0
13.0,26624.0,876.0,51.73,0.024616189301013947,0.11224365234375,0.17413216829299927,2224.0
14.0,28672.0,933.0,46.88,0.04636494070291519,0.18212890625,0.2079898715019226,2276.0
15.0,30720.0,967.0,49.33,0.02702658623456955,0.21844482421875,0.15921437740325928,2334.0
16.0,32768.0,996.0,52.12,0.008343702182173729,0.07281494140625,0.12781155109405518,2381.0
17.0,34816.0,1037.0,56.77,0.0330355241894722,0.126708984375,0.19318437576293945,2424.0
18.0,36864.0,1057.0,65.98,0.0229511559009552,0.0675048828125,0.08847987651824951,2447.0
19.0,38912.0,1094.0,62.41,0.030018996447324753,0.1971435546875,0.15546834468841553,2468.0
20.0,40960.0,1117.0,68.47,0.03702298551797867,0.37115478515625,0.3246335983276367,2499.0
21.0,43008.0,1164.0,56.92,0.12620365619659424,0.2650146484375,0.1977100372314453,2528.0
22.0,45056.0,1181.0,61.78,0.018191082403063774,0.19580078125,0.3186722993850708,2557.0
23.0,47104.0,1210.0,66.56,0.06788327544927597,0.31585693359375,0.16112470626831055,2556.0
24.0,49152.0,1236.0,68.96,0.04994625598192215,0.1441650390625,0.23493480682373047,2552.0
25.0,51200.0,1258.0,78.4,0.015945175662636757,0.145263671875,0.30907952785491943,2552.0
26.0,53248.0,1287.0,74.44,0.0455191433429718,0.18438720703125,0.3087061643600464,2556.0
27.0,55296.0,1307.0,81.33,0.02072771079838276,0.20166015625,0.5381714105606079,2578.0
28.0,57344.0,1325.0,87.57,0.02038581669330597,0.17578125,0.47576338052749634,2599.0
29.0,59392.0,1371.0,73.91,0.15026001632213593,0.2391357421875,0.26370829343795776,2616.0
30.0,61440.0,1381.0,79.82,0.032516561448574066,0.14178466796875,0.7115089297294617,2635.0
31.0,63488.0,1414.0,79.0,0.11476282775402069,0.182861328125,0.13031399250030518,2654.0
32.0,65536.0,1425.0,82.5,0.018666239455342293,0.2109375,0.6995139122009277,2672.0
33.0,67584.0,1442.0,89.22,0.02830098569393158,0.175048828125,0.5230717062950134,2689.0
34.0,69632.0,1458.0,98.87,0.02568094991147518,0.13995361328125,0.5448273420333862,2704.0
35.0,71680.0,1482.0,106.5,0.056598421186208725,0.18994140625,0.48206597566604614,2721.0
36.0,73728.0,1498.0,113.22,0.14344961941242218,0.32550048828125,0.7399219274520874,2733.0
37.0,75776.0,1576.0,47.59,0.6877533197402954,0.3385009765625,0.13289880752563477,2747.0
38.0,77824.0,1586.0,52.71,0.04563868045806885,0.20513916015625,0.6702141165733337,2761.0
39.0,79872.0,1605.0,55.1,0.056163620203733444,0.25262451171875,0.5584315061569214,2770.0
40.0,81920.0,1613.0,66.56,0.017071885988116264,0.13433837890625,0.7778440713882446,2781.0
41.0,83968.0,1650.0,85.02,0.0755448192358017,0.08416748046875,0.11958414316177368,2792.0
42.0,86016.0,1660.0,96.9,0.06500696390867233,0.23876953125,0.5143275260925293,2799.0
43.0,88064.0,1676.0,103.62,0.07572939991950989,0.2191162109375,0.06845265626907349,2797.0
44.0,90112.0,1683.0,118.99,0.048556409776210785,0.4635009765625,0.11691272258758545,2791.0
45.0,92160.0,1722.0,97.72,0.22115486860275269,0.2469482421875,0.1769782304763794,2777.0
46.0,94208.0,1726.0,103.35,0.019771434366703033,0.10345458984375,0.6625109910964966,2784.0
47.0,96256.0,1733.0,128.08,0.04130435734987259,0.2198486328125,-0.15836262702941895,2793.0
48.0,98304.0,1739.0,139.45,0.03965320065617561,0.24755859375,0.039882659912109375,2800.0
49.0,100352.0,1766.0,139.66,0.11771804094314575,0.19085693359375,0.14001250267028809,2808.0
50.0,102400.0,1769.0,144.2,0.12925541400909424,0.2000732421875,0.4831029176712036,2815.0
51.0,104448.0,1778.0,168.09,0.04216732084751129,0.23028564453125,-0.07622373104095459,2823.0
52.0,106496.0,1798.0,160.01,0.04039240628480911,0.17401123046875,0.12578803300857544,2831.0
53.0,108544.0,1807.0,161.68,0.05136542022228241,0.23199462890625,-0.1274867057800293,2838.0
54.0,110592.0,1827.0,169.75,0.06523662805557251,0.14251708984375,0.15574759244918823,2845.0
55.0,112640.0,1859.0,122.61,0.35651907324790955,0.2796630859375,-0.009369134902954102,2852.0
56.0,114688.0,1862.0,133.06,0.04462779313325882,0.20361328125,-0.15232062339782715,2857.0
57.0,116736.0,1882.0,122.68,0.07079565525054932,0.13427734375,0.16280639171600342,2864.0
58.0,118784.0,1891.0,122.37,0.03818971663713455,0.1812744140625,0.6404141187667847,2869.0
59.0,120832.0,1915.0,111.43,0.1874265968799591,0.238037109375,0.16707074642181396,2877.0
60.0,122880.0,1920.0,117.88,0.07179182767868042,0.428466796875,0.1070476770401001,2883.0
61.0,124928.0,1961.0,118.91,0.3261558711528778,0.25311279296875,0.2513387203216553,2888.0
62.0,126976.0,1967.0,109.3,0.06851524114608765,0.14892578125,0.5717573165893555,2881.0
63.0,129024.0,1990.0,110.79,0.16634106636047363,0.22796630859375,0.3766258955001831,2875.0
64.0,131072.0,1994.0,108.18,0.020602911710739136,0.1016845703125,0.6331421136856079,2865.0
65.0,133120.0,2002.0,127.04,0.04126396030187607,0.19720458984375,0.152305006980896,2868.0
66.0,135168.0,2032.0,120.03,0.2656025290489197,0.2403564453125,0.07395106554031372,2873.0
67.0,137216.0,2039.0,123.17,0.03356964513659477,0.306884765625,0.5844049453735352,2879.0
68.0,139264.0,2050.0,139.89,0.05237584561109543,0.1912841796875,0.3189536929130554,2885.0
69.0,141312.0,2059.0,154.37,0.039211153984069824,0.319580078125,0.672493577003479,2891.0
70.0,143360.0,2103.0,107.32,0.3066265881061554,0.21234130859375,0.13836252689361572,2896.0
71.0,145408.0,2113.0,109.41,0.031287431716918945,0.17974853515625,0.6045678853988647,2899.0
72.0,147456.0,2124.0,122.5,0.03457402437925339,0.25042724609375,0.8230229616165161,2903.0
73.0,149504.0,2154.0,97.5,0.19224950671195984,0.2164306640625,0.2406601905822754,2908.0
74.0,151552.0,2166.0,93.24,0.04031873494386673,0.25177001953125,0.8451521992683411,2915.0
75.0,153600.0,2183.0,110.88,0.014202956110239029,0.1763916015625,0.664504885673523,2918.0
76.0,155648.0,2199.0,122.06,0.016918987035751343,0.0533447265625,0.6616613864898682,2924.0
77.0,157696.0,2213.0,126.32,0.038346000015735626,0.2584228515625,0.8337775468826294,2926.0
